이슈,원인,원인 소분류,원인 대분류,조치결과,조치결과상세,로봇분류
1층 에서 2층 모밀집으로 옮긴후 점검요청,비고장,설치 / 로봇 내부 설정,고객환경(변화),대기시간 조정(설정),홀매니져분들께 로봇사용방법 전파,LG 서빙로봇 판매
1층로봇 주행실패 점검요청,충전스테이션 위치 변경,HW / 충전스테이션,로봇문제(HW),전원부 불량복구(HW),로봇방전충전후재배차,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
20232139 고장테스트,자연회복,LTE / 엘리베이터 내부,기타,자연회복(자연회복),test 오더입니다,LG 서빙로봇 판매
21번 눌렀는데 2번으로 간다고 긴급방문처리 요청,고객 조작 미숙,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),사용미숙,LG 서빙로봇 판매
23일 목적지 수정후 사후케어,매장 내 신규 장애물 발생,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),양호,LG 서빙로봇
23일 목적지 점검후 사후케어,기타,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),기타(외부시스템),양호,LG 서빙로봇
2번로봇 최근 주행중 오류 잦음 오늘 14시경 출발지에서 출발못했다함 로그분석요망,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵수정,LG 서빙로봇
2번트레이 변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블위치변경,LG 서비스로봇2 임대형
2층,(방역)플라즈마 공기살균기 불량,HW / (방역)플라즈마 공기살균기,로봇문제(HW),로봇교체(HW),교체,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
2층 1대불통,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),수리의뢰(원격수리/수리의뢰 배송)(HW),라이다 에러,LG 서빙로봇
2층 4대 운행에러,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),운명 상태양호,베어 서빙로봇
2층 경로수정 요청,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",주행경로 수정,LG 서빙로봇
2층 로봇 주행점검 및 바퀴 청소,비고장,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),양호,베어 서빙로봇
34번 테이블 잘 못감,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,LG서빙로봇(POC)
3대가 주방으로 들어온다고 긴급조치 요청,자연회복,문의성 / 접수보류,기타,자연회복(자연회복),사용미숙,베어 서비스로봇2 임대형
3번 4번 15번 테이블 배달  실패,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",고장수리,베어 서빙로봇
3층로봇 원격연결안됨전원off상태,로봇 에러(재부팅 필요),HW / 충전스테이션,로봇문제(HW),자연회복(자연회복),,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
41번 테이블 충돌 현상,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),테이블 위치 종정,LG 서빙로봇 판매
51번 테이블 부딧힘위치이동,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",51번 위치이동 작업,LG 서빙로봇 판매
56번 테이블위치 못찾고 멈춤,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",맵재구성,베어 서빙로봇
5개 테이블 위치 이동,자연회복,SW / 자율주행,로봇문제(SW),자연회복(자연회복),비고장,베어 서빙로봇
5번룸에 링고벨신규설치및테이블위치 일부변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),5번룸 링고벨설치및 테이블위치 일부변경,베어 서빙로봇
5월들어서 베터리소모가 조금 빨라 진것 같다고 점검의뢰 하심,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),5월달 사용량이 많아짐,LG 서빙로봇 판매
가게 폐점하고 없음(영업대표에게 연락 드림),비고장,비고장 / 기타,기타,,"무트래픽 방문, 가게 폐점하고 없음(10월29일까지 트래픽 있음 - 영업대표에 야연락함",베어 서빙로봇
가덕이 위치찾기 불가,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),리부팅(HW),위치 찾기 실패,LG 서빙로봇
가오픈에서  금일실오픈  멀티로봇운행방식변경 및  고객 작동방법재교육 하이오더  연동확인,매장 내 테이블 배치 변경,문의성 / 장애안내,고객사용법,맵 보정(설정),멀티로봇  운영 매장 오픈  점검  문제시 즉각 대응  요청하셔서  로봇적용,LG 서비스로봇2 임대형
간헐적 부팅불가,기타,SW / 자율주행,로봇문제(SW),인스톨러 개선(SW),SW FW 업그레이드,베어 서빙로봇
간헐적 재부팅 오류 점검요청,로봇 에러(재부팅 필요),SW / UI/UX(LCD 화면표기),로봇문제(HW),리부팅(HW),SW-업데이트,LG 서빙로봇 판매
간헐적 AI서빙로봇 멈춤현상,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",테이블위치 맵위치와 상이함 미세조정후 복구 완료,베어 서빙로봇
간혹 멈춤,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
간혹 멈춤,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
간혹 복귀불량,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,LG 서비스로봇2 임대형
간혹 서빙중 멈춤,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
간혹 서빙후 돌아오지않음,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),멀티로봇/줄서기오류 등 개선(SW),로봇운행 문제있음,베어 서비스로봇2 임대형
간혹 주행 불안정,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",,LG 서비스로봇2 임대형
간혹 주행불량,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자연회복(자연회복),,LG 서빙로봇 판매
간혹 주행불안정,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",,LG 서비스로봇2 임대형
갑자기 로봇 글씨 작아짐,기타,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",버전변경,베어 서빙로봇
갑자기 속도가 느려졌다함위차변경도원함,매장 내 테이블 배치 변경,문의성 / 장애안내,고객사용법,자연회복(자연회복),위치수정,베어 서빙로봇
갑자기 주행이 이상해졌다함,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),3D 카메라(전면) 불량복구(HW),위치 재조정,베어 서빙로봇
갑자기 퇴식 호출벨 안됨,문의성,로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,안내멘트 재설정(설정),음성안내설정,LG 서비스로봇2 임대형
개통이필요합니다 라고 뜸,자연회복,와이파이 / 공유기,무선품질문제,자연회복(자연회복),일시정지로 발생,LG 서빙로봇
개통후 방역로봇 충전스테이션 충전불량,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),전원부 불량복구(HW),무선충전기불량,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
겨울아침의창가 초기화 오류,배터리 불량,HW / 배터리,로봇문제(HW),로봇교체(HW),로봇 불량 swap,베어 서빙로봇
경로대로 안움직임,매장 내 테이블 배치 변경,SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),맵 정보 수정,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
경로변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",시스템 멈춤 복구 및 위치 맵 수정,베어 서빙로봇
경로설정,문의성,문의성 / 기술상담,고객사용법,속도조정(설정),사용법안내,LG 서빙로봇 판매
경로수정,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,LG 서빙로봇 판매
경사로 인테리어 완료 맵 재작성,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),맵재작성,LG 서빙로봇 판매
고강석 / 010-8228-7030서빙로봇 작동안함 / 점검요청지금바로 작업해야해서 긴급처리요청하심,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",매장사물변경,베어 서빙로봇
고객 방문요청,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),장애물 제거(환경),장애물 제거,베어 서빙로봇
고객부주의로 로봇 초기화,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),,베어 서빙로봇
고객부주의로 로봇초기화,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재작업후 정상,베어 서빙로봇
고객사 리뉴얼로 인한 재맵핑 요청,비고장,비고장 / 기타,기타,,업종변경으로 2층~1층 위치변경,베어 서빙로봇
고객케어,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",픽업포인트 추가,베어 서빙로봇
고객케어 및 주행테스트,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",poi위치조정,LG 서빙로봇
고메 poc 위치조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,LG 서빙로봇
고장,비고장,설치 / 맵 설정,고객환경(변화),리부팅(HW),문의,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
고장,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정,베어 서빙로봇
고장,비고장,HW / 충전스테이션,로봇문제(HW),자연회복(자연회복),무선충전기 커짐,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
고장 swap,전원부 불량,HW / 전원부,로봇문제(HW),전원부 불량복구(HW),,베어 서빙로봇
고장판정 로봇 교체,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),고장판정 교체,베어 서빙로봇
공기질 계속 나쁨 떠있음,서비스 매니저 오류(서빙/방역서비스처리),HW / (방역)공기 상태측정 센서,고객환경(변화),(방역)공기 상태측정 센서 불량 복구(HW),센서 클린실행,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
공기질 램프오류,(방역)공기 상태측정 센서 불량,HW / (방역)공기 상태측정 센서,로봇문제(HW),(방역)공기 상태측정 센서 불량 복구(HW),공기질표시등 오류,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
공기질수치 나쁨,(방역)공기 상태측정 센서 불량,HW / (방역)공기 상태측정 센서,로봇문제(HW),(방역)공기 상태측정 센서 불량 복구(HW),,"베어로봇틱스 임대형 방역로봇,방역로봇 충전기"
관제불 로봇OFF,실내 통신품질불량,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),sw버젼업 및 wifi오류수정,베어 서빙로봇
관제세터 접수초기화오류 발생현장출동 전원 리부팅 회복,로봇 에러(재부팅 필요),SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),리부팅(HW),전원 리부팅 회복,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
관제에러 확인,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),기타(외부시스템),에러복구 멀티점검,LG 서빙로봇 판매
관제에러확인,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),기타(외부시스템),에러복구 멀티운행 점검,LG 서빙로봇 판매
교체,트레이/적재함 불량,HW / 트레이/적재함,로봇문제(HW),로봇교체(HW),SWAP 교체,베어 서빙로봇
교체,관성 센서 불량,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),,베어로봇틱스 임대형 방역로봇
교체,비고장,HW / 터치패널,로봇문제(HW),리부팅(HW),재부팅,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
구동부 소음,바퀴 불량,HW / 바퀴,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),구동부 이물질 제거,베어 서빙로봇
글씨작음,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),인스톨러 개선(SW),일반 설정 키패드에서 목적지로 변경,베어 서빙로봇
글씨폰트 및 SW점검,비고장,비고장 / 고객취소,고객사용법,조작법 안내(고객),방문취소,베어 서빙로봇
금지구역 일부 수정요청,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",금지구역 수정요청,베어 서빙로봇
금지구역으로 오동작,"맵핑오류, 라이다 틀어짐",설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),초기화 재설치,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
기존 3층 3대2층 3대 운영중인데2층 4대 3층 2대로 긴급,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),재배치완료,베어 서빙로봇
긴급,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자율주행 로직개선(SW),,LG 서빙로봇 판매
긴급복구용 원복 교체,문의성,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),긴급복구용 로봇 원복교체,베어 서빙로봇
길막힘 표시 방문요청,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),기타(외부시스템),금지영역 재설정,베어 서빙로봇
길을 못찿고 뱅글뱅글 돈다함,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 로봇 내부 설정,고객환경(변화),멀티로봇/줄서기오류 등 개선(SW),양호,베어 서빙로봇
길을 잃어버림,"호출벨/오더연동오류, 오더수행중 종료",와이파이 / 공유기,무선품질문제,라우터 불량복구(HW),스마트캐스트 호출벨 수신기 전원 연결,LG서빙로봇(고객)
길을 자주 잃어버림,3D 카메라(전면) 불량,HW / 3D 카메라(전면),로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),카메라센서 클리닝,LG서빙로봇(고객)
내부 공사로 맵수정 요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),내부 공사로 맵 수정요청,LG 서빙로봇 판매
내부 구조 변경 로봇 맵 조정,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),초기화 재설치,베어 서빙로봇
내부 인테리어 공사로 인한 신규 맵 작성  퇴식대기 위치변경,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),내부 인테리어 공사로 인한 신규 맵 설정,LG 서빙로봇 판매
내부 테이블변경  및 픽업 포인트 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),매장내 테이블 위치변경 및 픽업포인트 변경,베어 서빙로봇
내부환경변화로 일부구간 방역안됨,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),사무실 책상재배치,베어로봇틱스 임대형 방역로봇
내위치찾기 오류,로봇 에러(재부팅 필요),설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),468970,LG서빙로봇(POC)
냉장고 및 주방 입구 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",,베어 서빙로봇
냉장고 이동으로 마커 위치 변경후 로봇 작동안됨,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),장애물 제거(환경),마커 수정,LG 서빙로봇 판매
냉장고이전장애물위치 수정요청,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 보정(설정),맵수정 완료,LG 서비스로봇2 임대형
네트워크 오류,비고장,HW / 배터리,로봇문제(HW),자연회복(자연회복),방전후 충전및 위치재배치 재교육,LG 서빙로봇 판매
네트워크 오류 서버 통신불,충전스테이션 불량,HW / 충전스테이션,로봇문제(HW),전원부 불량복구(HW),재충전,LG 서빙로봇 판매
네트워크 이상,문의성,HW / 전원부,로봇문제(HW),리부팅(HW),미충전 점검 및 재사용법 안내,LG 서빙로봇 판매
네트워크 이상,비고장,SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",고객 미충전으로 절전모드,LG 서빙로봇 판매
노드변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",poi위치변경,LG 서빙로봇 판매
노드변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",노드변경,LG서빙로봇(POC)
단말 교체,구동부조명 불량,HW / 구동부조명,로봇문제(HW),로봇교체(HW),,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
단말 교체,라우터 불량,HW / 라우터,로봇문제(HW),로봇교체(HW),,베어 서빙로봇
단말 교체,라이다 센서 불량,HW / 라이다 센서,로봇문제(HW),로봇교체(HW),,서빙로봇
단말 변경,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),단말변경,베어 서빙로봇
단말 확인,전원부 불량,HW / 전원부,로봇문제(HW),리부팅(HW),재부팅,"서빙로봇,서빙로봇 충전기"
단말고장교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),,베어 서비스로봇2 임대형
단말교체,Xavier(SW응용부 보드) 불량,HW / Xavier(SW 응용부 컴퓨팅 보드),로봇문제(HW),로봇교체(HW),swap,베어 서빙로봇
단말불량교체,터치패널 불량,HW / 터치패널,로봇문제(HW),로봇교체(HW),단말디스플레이터치불량,베어 서빙로봇
단말불량판정 swap,로봇 에러(재부팅 필요),SW / UI/UX(LCD 화면표기),로봇문제(SW),조작법 안내(고객),swap 단말불량 교체,베어 서빙로봇
단말현행화,문의성,문의성 / 기술상담,고객사용법,조작법 안내(고객),바코드현행화,베어로봇틱스 임대형 방역로봇
단방향에서양방향 변경,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),경로 양방향에서 단방향 수정,LG 서빙로봇
단차 해소 방안 모색,"자율주행 오류(멈춤, 금지구역침범 등)",설치 / 맵 설정,고객환경(변화),맵 보정(설정),단차구역 금지영역 추가,베어 서빙로봇
담당자변경비즈나루연락처변경,문의성,로봇플랫폼 / 로보케어 APP,로봇플랫폼,로보케어 APP 개선(로봇플랫폼),담당자변경으로 비즈나루에서 연락처변경 스케쥴러방역변경,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
담당직원 교체로 로봇운용교육,비고장,HW / 전원부,로봇문제(HW),자연회복(자연회복),로봇 완전방전 복구,"베어로봇틱스 판매형 방역로봇,방역로봇 충전기"
대기위치 변경및 이동경로 변경 요청,문의성,비고장 / 기타,기타,,로봇 이동 경로 변경,베어 서빙로봇
대기장소 2번 변경 요청,수동조작에 따른 맵 정보 불일치,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),대기장소 변경 요청,베어 서빙로봇
대기장소 및 마커위치변경요망,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",충전장소변경,LG 서빙로봇 판매
대기장소 및 충전소 위치변경,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),기타(외부시스템),충전소 및 대기장소 위치변경,베어 서빙로봇
대기장소 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
대기장소 변경,로봇 설정 미흡,설치 / 로봇 내부 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),위치이동,LG 서빙로봇
대기장소 변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",대기장소변경,베어 서빙로봇
대기장소 수정요청,비고장,HW / 트레이/적재함,로봇문제(HW),트레이/적재함 불량복구(HW),,베어 서비스로봇2 임대형
대기장소 위치변경,기타,SW / 자율주행,로봇문제(SW),기타(외부시스템),대기장소 위치변경 및 음료전용 트레이 교체,베어 서빙로봇
대기장소 진입 시 흔들림 심함,구동부조명 불량,HW / 구동부조명,로봇문제(HW),구동부조명 불량복구(HW),바닥재질 반짝거림. 로봇 바닥민감도 수정,LG 서빙로봇
대기장소 퇴식장소 변경요청 긴급,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),자연회복(자연회복),재설정,LG 서빙로봇 판매
대기장소변경,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),대장소변경,LG서빙로봇(고객)
대기장소변경요,매장 내 테이블 배치 변경,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",대기장소변경,베어 서비스로봇2 임대형
대기장소에 냉장고설치됨방문요청,매장 내 신규 장애물 발생,SW / 자율주행,로봇문제(SW),기타(외부시스템),대기장소 위치변경 및 금지영역 재설정,베어 서빙로봇
대기장소에서 출발할때 바닥 불균형으로 넓게 돌아서 나가게 설정요정,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),자율주행 로직개선(SW),,베어 서빙로봇
대기장소추가및 이동구간 확장요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),맵 보정(설정),,베어 서빙로봇
대기지점 변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵 및 포인트조정,베어 서비스로봇2 임대형
대기지점 변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵 및 포인트변경,베어 서비스로봇2 임대형
대기지점 변경요청,매장 내 테이블 배치 변경,설치 / 맵 설정,고객환경(변화),"위치변경(대기장소, 목적지 테이블 등)(설정)",맵  및 포인트수정,베어 서비스로봇2 임대형
대기지점 복귀않됨,"자율주행 오류(멈춤, 금지구역침범 등)",HW / 라이다 센서,로봇문제(HW),이물질 제거(라이다/카메라/터치스크린/ 바퀴 등)(환경),,베어 서빙로봇
더락식향 AI서빙로봇 테이블 위치 변경요경브레이크타임에 변경요청,고객 조작 미숙,SW / 서비스매니저(서빙/방역 서비스처리),로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",위치변경,LG 서빙로봇 판매
도착시 알림벨 안울림,"호출벨/오더연동오류, 오더수행중 종료",로봇플랫폼 / Robot Makers(로봇플랫폼),로봇플랫폼,맵 보정(설정),알림벨 맵 업로드후 정상,베어 서빙로봇
돌아오는장소가 대기로 안오고 충전장소로 복귀장소를 대기로 했는데도 그렇다함SW업데이트 관제요청중,로봇 에러(재부팅 필요),SW / 자율주행,로봇문제(SW),"S/W, F/W 업그레이드 적용(설정)",신버전업그레이드후 정상동작,베어 서빙로봇
동선 및 위치등 변화 운행불가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),환경변화로 전체 재매핑,LG 서빙로봇 판매
동선 및 위치변화 운행불가,매장 내 신규 장애물 발생,설치 / 맵 설정,고객환경(변화),맵 초기화 후 맵 다시 생성(설정),환경변화로 전체 재매핑,LG 서빙로봇 판매
동작 불가,배터리 불량,HW / 배터리,로봇문제(HW),배터리 불량복구(HW),완전방전 충전방법 재안내,베어 서빙로봇
동작 안함,"자율주행 오류(멈춤, 금지구역침범 등)",SW / 자율주행,로봇문제(SW),기타(외부시스템),정상,베어 서빙로봇
동작불,라이다 센서 불량,SW / 자율주행,로봇문제(SW),기타(외부시스템),,"방역로봇 충전기,베어로봇틱스 임대형 방역로봇"
