이슈,원인,조치결과
야간현장수배[상품명] 베어로보틱스 서빙로봇[신고자/연락처] 노혜란/010-6685-3683[문의(고장)내용] 테이블 위치 변경으로 인해 재설정 필요[답변(진단)내용] 비즈지원팀 접수[기타],야간현장수배[상품명] 베어로보틱스 서빙로봇[신고자/연락처] 노혜란/010-6685-3683[문의(고장)내용] 테이블 위치 변경으로 인해 재설정 필요[답변(진단)내용] 비즈지원팀 접수[기타],재맵핑
서빙로봇 주행 중 멈춤,서빙로봇 주행 중 멈춤,
방역 로봇 무선 충전기에서 타는 냄새가 나고 정상적으로 충전이 안된다고 신고하심,방역 로봇 무선 충전기에서 타는 냄새가 나고 정상적으로 충전이 안된다고 신고하심,베어사에 무선 충전 안됨 내용전달
초기화오류,초기화오류,버젼업
충전 불량,충전 불량,어댑터 전원 연결 불량
로봇 주행오류 점검,로봇 주행오류 점검,사용자 컨설팅
로봇 주행오류 점검,로봇 주행오류 점검,사용자 컨설팅
로봇 사후케어,로봇 사후케어,로봇 미사용 방문
AI 서빙 로봇 멈춤현상,AI 서빙 로봇 멈춤현상,사각트레이 틀어짐으로 장애물인식 3M부착후 해소
복귀장소 오류및 글씨폰트 작음,복귀장소 오류및 글씨폰트 작음,픽업장소오류 버젼업/라이다센서 오후태양빛 반사오류 수정
이동장애,이동장애,
충전불량,충전불량,
로봇오류가많음,로봇오류가많음,맵다시그림
테이블 이동으로 맵 재설치 요청,테이블 이동으로 맵 재설치 요청,재설치 완료 2월에 테이블 위치 변경한다고 하심
"[상품명]서빙로봇[신고자/연락처]김태현/010-7232-2321[문의(고장)내용]맵수정 요청, 멈춤현상 발생된다고함[답변(진단)내용]방문 맵수정 요청건[기타]","[상품명]서빙로봇[신고자/연락처]김태현/010-7232-2321[문의(고장)내용]맵수정 요청, 멈춤현상 발생된다고함[답변(진단)내용]방문 맵수정 요청건[기타]",정상 작동
액정이 안보여요,액정이 안보여요,
이상 동작 제자리 회전,이상 동작 제자리 회전,소프트웨어 업그레이드
로봇5대 멀티 업그레이드,로봇5대 멀티 업그레이드,SW 업그레이드 작업
테이블 위치 변경됨,테이블 위치 변경됨,
로봇이용불가,로봇이용불가,고객사용미숙
로봇 후면부 접촉 불량,로봇 후면부 접촉 불량,로봇교체
poc로봇 교체,poc로봇 교체,
목적지 수정요청,목적지 수정요청,창문 햇살에 의한 인식 오류
방역로봇 비정상 동작 및 동선변경,방역로봇 비정상 동작 및 동선변경,위치재설정 및 맵수정
멀티 로봇 멈춤 동작불가,멀티 로봇 멈춤 동작불가,로봇 와이파이 미접속 조치
전원충전상태확인,전원충전상태확인,방역구간 조정
교체,교체,
"[상품명] 서빙AI로봇[신고자/연락처] 이규필 01067708315[문의(고장)내용] bn!S0039052350 서빙로봇 관제센터에서AS교체요청, 하단 카메라 불량내일자 물건받기로 함[답변(진단)내용] 수배처리[기타]","[상품명] 서빙AI로봇[신고자/연락처] 이규필 01067708315[문의(고장)내용] bn!S0039052350 서빙로봇 관제센터에서AS교체요청, 하단 카메라 불량내일자 물건받기로 함[답변(진단)내용] 수배처리[기타]",로봇교체
서빙대기위치변경 및터이 위치변경 요청,서빙대기위치변경 및터이 위치변경 요청,위치변경 완료
서빙중 간혹 멈춤,서빙중 간혹 멈춤,
간혹 서빙중 멈춤,간혹 서빙중 멈춤,
T3 T4테이블 서빙후 자동복귀불가 현상 잦은,T3 T4테이블 서빙후 자동복귀불가 현상 잦은,"T3,4번 테이블간격 정비(71cm-->74cm) 및 도착위치 수정(테이블 입구쪽에서"
로봇교체,로봇교체,교체
롯봇 동작안하고 위치 수정요청,롯봇 동작안하고 위치 수정요청,상태 양호
로봇 이동하지 못함재배치해도 목적지까지는 가나돌아오지 못함,로봇 이동하지 못함재배치해도 목적지까지는 가나돌아오지 못함,매장내 테이블 추가등 고정장애물 위치변경에 따른주행중 위치틀어짐 발생
방역로봇 안움직임,방역로봇 안움직임,
방역로봇 안움직임,방역로봇 안움직임,8층에서7층으로 이동 재설치
서빙로봇 작동오류로 빠른조치 희망,서빙로봇 작동오류로 빠른조치 희망,맵수정
[상품명]서빙로봇[신고자/연락처]이가을 010--4026-0814인입[문의(고장)내용]정상적으로 주행을 못한다심[답변(진단)내용]로봇 리셋해도 마찬가지라심 방문 점검 요청 하심[기타],[상품명]서빙로봇[신고자/연락처]이가을 010--4026-0814인입[문의(고장)내용]정상적으로 주행을 못한다심[답변(진단)내용]로봇 리셋해도 마찬가지라심 방문 점검 요청 하심[기타],테이블 미세조정
멈춤현상,멈춤현상,멈춤구간 이미지 수정
로봇점검요청,로봇점검요청,SW교체
간혹 멈춤,간혹 멈춤,
간혹 멈춤,간혹 멈춤,
화면 안나옴 불량교체,화면 안나옴 불량교체,로봇교체
액정불량 로봇교체,액정불량 로봇교체,
로봇교체,로봇교체,
이동 경로 수정 요청,이동 경로 수정 요청,양호
음원 변경 요청,음원 변경 요청,양호
멈춤현상,멈춤현상,잘사용
로봇위치 조정 요청,로봇위치 조정 요청,양호
내부환경변화로 일부구간 방역안됨,내부환경변화로 일부구간 방역안됨,사무실 책상재배치
로봇이 대기장소로 안옴,로봇이 대기장소로 안옴,맵다시그림
로봇 액정불량 교체,로봇 액정불량 교체,양호
로봇 이동불,로봇 이동불,운용구간 행사관계로 사용불 안내
대기장소 및 충전소 위치변경,대기장소 및 충전소 위치변경,충전소 및 대기장소 위치변경
단말 교체,단말 교체,
로봇교체,로봇교체,로봇교체
무선충전이 안됨,무선충전이 안됨,로봇교체함
베어 서빙 로봇 정상 작동 안됨,베어 서빙 로봇 정상 작동 안됨,
단말 교체,단말 교체,
로봇불량교체,로봇불량교체,로봇불량교체 판정
베어서빙 고장접수  로봇불량으로 교체관련접수,베어서빙 고장접수  로봇불량으로 교체관련접수,다우통신 로봇불량으로교체함
목적지 미도착 수정,목적지 미도착 수정,맵수정
서빙로봇 미사용 방문,서빙로봇 미사용 방문,미사용으로 방문
초기화 오류 메세지,초기화 오류 메세지,로봇초기화 재설정
전날 운행도중 멈춤 현상후 금일 비정상동작 방문요청,전날 운행도중 멈춤 현상후 금일 비정상동작 방문요청,위치재배치 및 조치요령 재설명
[상품명]서빙로봇[신고자/연락처]유정민01056127698[문의(고장)내용]충전불[답변(진단)내용]충전불 코드 재연결하여도 안됨/최대한빠른조치요청[기타],[상품명]서빙로봇[신고자/연락처]유정민01056127698[문의(고장)내용]충전불[답변(진단)내용]충전불 코드 재연결하여도 안됨/최대한빠른조치요청[기타],충전불량
로봇 주행실패출발을 못하고있는상태임,로봇 주행실패출발을 못하고있는상태임,
로봇바로리턴,로봇바로리턴,상세설정오류
로봇 복귀지점으로 미복귀,로봇 복귀지점으로 미복귀,동작설정값이 순회모드로 변경된 상태
로봇 사용 안됨,로봇 사용 안됨,버젼업그레이드함
[상품명]방역로봇[신고자/연락처]김철민 010 6619 0638[문의(고장)내용]1대 경로등록하라는 메세지 반복[답변(진단)내용]점검안내[기타],[상품명]방역로봇[신고자/연락처]김철민 010 6619 0638[문의(고장)내용]1대 경로등록하라는 메세지 반복[답변(진단)내용]점검안내[기타],특이사항은 없습니다
로봇 2대 멀티운행 불가 점검,로봇 2대 멀티운행 불가 점검,멀티운행 장애해소 및 로보케어앱 제어
[상품명][신고자/연락처][문의(고장)내용]장애물이 없는데 장애물이 있다고 나오고 이동을 안함[답변(진단)내용]전원리셋은 했음[기타],[상품명][신고자/연락처][문의(고장)내용]장애물이 없는데 장애물이 있다고 나오고 이동을 안함[답변(진단)내용]전원리셋은 했음[기타],위치불일치 재배치 및 새직원 운행방법 교육안내
멀티로봇 통신오류 주행오류,멀티로봇 통신오류 주행오류,로봇 초기화후 재설정
로봇 운행불,로봇 운행불,WIFI점검 및 버젼업
목적지변경,목적지변경,주방 목적지 변경 및 로봇 클닝
[상품명]서빙로봇[신고자/연락처]임기식/01034225710[문의(고장)내용]위치변경으로 map재설정 요청[답변(진단)내용]엔지니어 확인요청[기타],[상품명]서빙로봇[신고자/연락처]임기식/01034225710[문의(고장)내용]위치변경으로 map재설정 요청[답변(진단)내용]엔지니어 확인요청[기타],
"[상품명]방역로봇[신고자/연락처]박영현/010-9119-2537[문의(고장)내용]충전안됨,방문전 연락먼저[답변(진단)내용]빠른조치원하심[기타]","[상품명]방역로봇[신고자/연락처]박영현/010-9119-2537[문의(고장)내용]충전안됨,방문전 연락먼저[답변(진단)내용]빠른조치원하심[기타]",고객사 콘센트 불량
하단카메라 불량,하단카메라 불량,로봇교체
로봇 전원 부팅 바로 로딩이 안돼요 번복 전원 on  off해야합니다,로봇 전원 부팅 바로 로딩이 안돼요 번복 전원 on  off해야합니다,1월31일 화요일 로봇교체요청
와이파이접속안됨,와이파이접속안됨,공유기교체함
전원 안켜지고 운행 안됨,전원 안켜지고 운행 안됨,테이블 재확인 버젼업그레이드 함
리부팅후 움직이지 않음,리부팅후 움직이지 않음,일시정지
고객부주의로 로봇 초기화,고객부주의로 로봇 초기화,
이동중 멈춤,이동중 멈춤,하부 이물질 제거
충전불량,충전불량,
[상품명][신고자/연락처]고강석 010-8228-7030[문의(고장)내용]테이블위치이동으로  재셋팅요청[답변(진단)내용]테이블 위치이동 점검요청[기타],[상품명][신고자/연락처]고강석 010-8228-7030[문의(고장)내용]테이블위치이동으로  재셋팅요청[답변(진단)내용]테이블 위치이동 점검요청[기타],
로봇충전불가,로봇충전불가,아답터 접촉불량
로봇 바퀴 청소 및 운행 점검,로봇 바퀴 청소 및 운행 점검,로봇바퀴 이물질제거 및 청소
테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,양호
테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,테이블 변경에 따른 목적지 수정및 청소작업1층 멀티로봇 2대,양호
2층 로봇 주행점검 및 바퀴 청소,2층 로봇 주행점검 및 바퀴 청소,양호
바퀴청소및 운행점검,바퀴청소및 운행점검,로봇바퀴청소 이물질제거
[상품명]AI방역로봇[신고자/연락처]이재형 010-4174-4652[문의(고장)내용]매핑이 잘못됨 메시지 나오면서 작동불[답변(진단)내용]현장 점검 요[기타],[상품명]AI방역로봇[신고자/연락처]이재형 010-4174-4652[문의(고장)내용]매핑이 잘못됨 메시지 나오면서 작동불[답변(진단)내용]현장 점검 요[기타],LTE개통으로 WIFI 비활성화
멀티로봇 동작이상 방문요청,멀티로봇 동작이상 방문요청,공유기 교체후 네트워크 재접속
S오더 연동안됨,S오더 연동안됨,포스기에러
무선충전불량,무선충전불량,로봇불량
목적지에서 로봇 멈춤주방 대기장소 위치 변경요청,목적지에서 로봇 멈춤주방 대기장소 위치 변경요청,대기장소 변경 및 목적지 위치변경
로봇특수수요 요청및 교체작업,로봇특수수요 요청및 교체작업,로봇불량교체
대기장소추가및 이동구간 확장요청,대기장소추가및 이동구간 확장요청,
로봇 불량판정으로 인한 로봇교체,로봇 불량판정으로 인한 로봇교체,LTE불량 교체판정
액정불량,액정불량,display 불량
단말불량판정 swap,단말불량판정 swap,swap 단말불량 교체
로봇 무선충전안됨,로봇 무선충전안됨,로봇위치 에러
KT영업담당자 고객사 목적지 포인트 변경요청,KT영업담당자 고객사 목적지 포인트 변경요청,4/5번 목적지 수정요청
3번 4번 15번 테이블 배달  실패,3번 4번 15번 테이블 배달  실패,고장수리
버전업,버전업,버전업
"충전  연결안됨
점검 필요요망","충전  연결안됨
점검 필요요망",방전후충전안되어 as요청
"[상품명]서빙로봇
[신고자/연락처]김민수/010-8679-7931
[문의(고장)내용]로봇 멈춤/ 재부팅동일 
[답변(진단)내용]영업대표 kt010-7333-0978   긴급 요청 하심
[기타]","[상품명]서빙로봇
[신고자/연락처]김민수/010-8679-7931
[문의(고장)내용]로봇 멈춤/ 재부팅동일 
[답변(진단)내용]영업대표 kt010-7333-0978   긴급 요청 하심
[기타]",무출동
로봇 움직이지 않아 재부팅 했는데도 동일현상,로봇 움직이지 않아 재부팅 했는데도 동일현상,고장 조치
스크린5번방 호출벨안됨,스크린5번방 호출벨안됨,호출벨점검
"[상품명]서빙로봇
[신고자/연락처]김상훈 02-988-9998
[문의(고장)내용]테이블 못 찾음
[답변(진단)내용]위치 변동은 없었다심
[기타]","[상품명]서빙로봇
[신고자/연락처]김상훈 02-988-9998
[문의(고장)내용]테이블 못 찾음
[답변(진단)내용]위치 변동은 없었다심
[기타]",빚반사제거 맵수정
"[상품명]서빙로봇
[신고자/연락처]강창우 지원팀/010-6789-3020
[문의(고장)내용]액정이 안나와서 초기화 했는데 부팅이 안된다고함
[답변(진단)내용]고장수배요청
[기타]","[상품명]서빙로봇
[신고자/연락처]강창우 지원팀/010-6789-3020
[문의(고장)내용]액정이 안나와서 초기화 했는데 부팅이 안된다고함
[답변(진단)내용]고장수배요청
[기타]",
멀티로봇 작동불량,멀티로봇 작동불량,멀티로봇 line exclude 조정
테이블위치변동,테이블위치변동,맵조정
"[상품명]서빙로봇
[신고자/연락처]kt영업 박윤호 010-9594-4980
[문의(고장)내용]노선변경 방문요청건 입니다(점주 연락처 010-8925-3369)
[답변(진단)내용]노선변경 방분요청
[기타]","[상품명]서빙로봇
[신고자/연락처]kt영업 박윤호 010-9594-4980
[문의(고장)내용]노선변경 방문요청건 입니다(점주 연락처 010-8925-3369)
[답변(진단)내용]노선변경 방분요청
[기타]",POI추가 및 맵수정
일부 테이블 재배치,일부 테이블 재배치,테이블 위치 재배치
충전장소에서 대기장소로 이동오류,충전장소에서 대기장소로 이동오류,맵수정
1대 WIFI 불통,1대 WIFI 불통,wifi 불가 리셋복구 
로봇이 개통이 필요합니다 라는 메세지 나옴,로봇이 개통이 필요합니다 라는 메세지 나옴,와이파이 비번변경으로 재접속
로봇 부팅 불가,로봇 부팅 불가,
대기장소 진입 시 흔들림 심함,대기장소 진입 시 흔들림 심함,바닥재질 반짝거림. 로봇 바닥민감도 수정
서빙로봇 PoC 사후케어,서빙로봇 PoC 사후케어,PoC 고객케어
이동중 주행이 불안정하다고 방문요청하심,이동중 주행이 불안정하다고 방문요청하심,이동중  경로 수정하여 작업완료함
서빙로봇 PoC철거 요청,서빙로봇 PoC철거 요청,서빙로봇 PoC철거
충전안됨으로 신고,충전안됨으로 신고,충전기 미접촉
로봇 미동작,로봇 미동작,조치
로봇 1개 불통,로봇 1개 불통,6번 12번 테이블 도착에러 위치이동 
로봇 불통,로봇 불통,임시로봇 교체 
네트워크 오류 서버 통신불,네트워크 오류 서버 통신불,재충전
간헐적 재부팅 오류 점검요청,간헐적 재부팅 오류 점검요청,SW-업데이트
멀티로봇 버전상이,멀티로봇 버전상이,수동 버전업
멀티로봇 버전상이,멀티로봇 버전상이,수동 버전업 
바닥 공사후 맵 재설정,바닥 공사후 맵 재설정,맵 재설정(감속구간)
엘지서빙로봇 poc개통후 사후케어,엘지서빙로봇 poc개통후 사후케어,퇴식장소 통로  금지구역재설정 및 제품마커 위치변경
버전업,버전업,버전업 
버전업,버전업,버전업 
로봇특수수요 요청및 교체작업,로봇특수수요 요청및 교체작업,로봇불량교체
무게초기화 안됨 및 베터리 소모빠름,무게초기화 안됨 및 베터리 소모빠름,로봇 전원off/on 후 복구 됨
동작불가,동작불가,연동솔루션점검예정
화면이 안켜짐,화면이 안켜짐,화면이 안켜지는 증상.유선충전기 및 다른충전기로 해봐도 같은증상.로봇LED는 정상으로 들어오나 No sinanal. Power saving만 뜨는현상.. 로봇교체 판정..교체예정
맵설정중 or  주행중 안녕하세요화면으로 전환됨 일정시간 후 화면 자동복구됨,맵설정중 or  주행중 안녕하세요화면으로 전환됨 일정시간 후 화면 자동복구됨,
목적지 수정 요청,목적지 수정 요청,와이파이 교체등
복귀오류,복귀오류,복귀지점 오류
공기질 램프오류,공기질 램프오류,공기질표시등 오류
위치변경 요청,위치변경 요청,위치변경 요청으로 맵수정
일부 목적지 수정,일부 목적지 수정,목적지 수정
테이블 수정및 충전 안됨,테이블 수정및 충전 안됨,로봇교체
로봇 아예작동 안됨,로봇 아예작동 안됨,작동불
테이블 일부수정및 버전업,테이블 일부수정및 버전업,목적지 수정
테이블 일부 수정및 버전업 완료,테이블 일부 수정및 버전업 완료,목적지 수정
로봇교체판정,로봇교체판정,swap 판정으로 인한교체
로봇교체판정,로봇교체판정,로봇교체판정
초기화도중에러발생 문구,초기화도중에러발생 문구,구동부에러
초기화도중 에러발생,초기화도중 에러발생,전원리부팅(현장벙문)
전원 off 확인 점검,전원 off 확인 점검,전원조치후 운행시험 양호
전원 off확인점검 요청,전원 off확인점검 요청,전원 조치 및 운행시험 양호
초기화 오류,초기화 오류,전원 재 부팅
이상 동작 고장,이상 동작 고장,"위치재배치, 미션 재도전 시간 병경"
소프트웨어 버전 업데이트,소프트웨어 버전 업데이트,소프트웨어 업그레이드
서빙후 복귀 안됨,서빙후 복귀 안됨,
안내로봇 운행 작동 않되네요,안내로봇 운행 작동 않되네요,사용자 로봇 사용 미숙
[상품명]AI로봇[신고자/연락처]이도감/01031317006[문의(고장)내용]서빙로봇 안내멘트 수정요청[답변(진단)내용]접수[기타],[상품명]AI로봇[신고자/연락처]이도감/01031317006[문의(고장)내용]서빙로봇 안내멘트 수정요청[답변(진단)내용]접수[기타],상호변경으로 음원멘트 변경
[상품명][신고자/연락처]01089699876윤경주[문의(고장)내용]얼마전업데이트이후 출발속도느려짐/목적지설정시 해당목적지도착전에 대기장소로이동하는증상발생[답변(진단)내용]도킹장소에서 리셋후재사용권했으나 문제가있어보인다며 우선은 현장와서 확인요청하심[기타],[상품명][신고자/연락처]01089699876윤경주[문의(고장)내용]얼마전업데이트이후 출발속도느려짐/목적지설정시 해당목적지도착전에 대기장소로이동하는증상발생[답변(진단)내용]도킹장소에서 리셋후재사용권했으나 문제가있어보인다며 우선은 현장와서 확인요청하심[기타],소프트웨어 업그레이드 오동작
로봇위치 테이블 쪽으로 최대한 붙어서 해달라고 함,로봇위치 테이블 쪽으로 최대한 붙어서 해달라고 함,
"[상품명] 서빙로봇[신고자/연락처] 임훈 01096905989[문의(고장)내용] 4128511634, 로봇 2대 인데 마주치면 멈춤 , 상황별로 멘트 음량 변경 불가, 기계에서 안됨[답변(진단)내용] 방문시 휴대폰 먼저 연락바랍니다.[기타]","[상품명] 서빙로봇[신고자/연락처] 임훈 01096905989[문의(고장)내용] 4128511634, 로봇 2대 인데 마주치면 멈춤 , 상황별로 멘트 음량 변경 불가, 기계에서 안됨[답변(진단)내용] 방문시 휴대폰 먼저 연락바랍니다.[기타]",로봇 설정정검
베어서비스로봇 충전안됨,베어서비스로봇 충전안됨,충전기 불량
실내 테이블 위치 변경후 로봇 에러,실내 테이블 위치 변경후 로봇 에러,테이블 위치 전체 변경
방역로봇 방역시 오작동,방역로봇 방역시 오작동,로봇 방역홍보 피켓 위치ㅈ조정
판매로봇교체,판매로봇교체,
로봇 장애,로봇 장애,에러발생 불복구로 a8a300로봇 교체
로봇 장애,로봇 장애,멀티로봇 교체로 버전 동일 업그레이드
환경변화로 위치잊음,환경변화로 위치잊음,맵 전체 재매핑
로봇 장애 접수,로봇 장애 접수,멀티인식불 해소 및 SW 업그레이드
로봇불량으로인한교체,로봇불량으로인한교체,로봇교체
[상품명]방역로봇[신고자/연락처]박영현/010-9119-2537[문의(고장)내용]무선충전안됨 저번에 a/s 받았는데 안됨[답변(진단)내용]빠른조치원하심[기타],[상품명]방역로봇[신고자/연락처]박영현/010-9119-2537[문의(고장)내용]무선충전안됨 저번에 a/s 받았는데 안됨[답변(진단)내용]빠른조치원하심[기타],고객충전스위치off
[상품명]베이로보틱스 서빙로봇[신고자/연락처]010-7339-3902[문의(고장)내용]내부직원 요청/ 로봇 원상복귀 불[답변(진단)][기타],[상품명]베이로보틱스 서빙로봇[신고자/연락처]010-7339-3902[문의(고장)내용]내부직원 요청/ 로봇 원상복귀 불[답변(진단)][기타],
로봇터치스크린 동작불,로봇터치스크린 동작불,sw버전교체
일상점검 요청,일상점검 요청,정비양호
목적지 이동시 오류발생 점검요청,목적지 이동시 오류발생 점검요청,로봇초기화및 재설정
로봇 일상점검요청,로봇 일상점검요청,바퀴 이물질제거 및 펌웨어 업그레이드 작업
부팅 중 멈춤 및 무선충전기 충전불가 현상,부팅 중 멈춤 및 무선충전기 충전불가 현상,유선충전기 최소 충전후 무선으로 변경
방역로봇 초기화 불량으로 교체 요청,방역로봇 초기화 불량으로 교체 요청,
판매로봇교체,판매로봇교체,
목적지 수정 요청,목적지 수정 요청,전체 테이블 목적지 수정
테이블변경,테이블변경,테이블위치 변경
[상품명][신고자/연락처]01076671045유재향[문의/(고장)내용]화면글씨작아져서로봇초기화함/네트워크연결선택뜬는데 터치안되고 어떤건지모르겟음[답변(진단)내용]현장확인필요[기타],[상품명][신고자/연락처]01076671045유재향[문의/(고장)내용]화면글씨작아져서로봇초기화함/네트워크연결선택뜬는데 터치안되고 어떤건지모르겟음[답변(진단)내용]현장확인필요[기타],자동업그레이드 초기화 해소 고객케어
갑자기 로봇 글씨 작아짐,갑자기 로봇 글씨 작아짐,버전변경
베어서빙로봇 버전변경,베어서빙로봇 버전변경,버전변경
로봇 미사용 케어 및 베어서빙로봇 버전변경,로봇 미사용 케어 및 베어서빙로봇 버전변경,버전변경
매장변경,매장변경,매장변경에따른 맵변경
사용저조,사용저조,클린작업 및 지속적으로 사용 권장드림
사용저조,사용저조,클린작업 및 지속적으로 사용 권장드림
장애물 표시 및 로봇 주행불가,장애물 표시 및 로봇 주행불가,위치 재설정 후 양호
초기화에러,초기화에러,신품화 교체
[상품명]방역로봇[신고자/연락처]김주은 010-2433-0628[문의(고장)내용]움직이지 않는다고함[답변(진단)내용]대리신고후 고객님통화하여 전원리부팅요청하니 충전이 되지않아 작동불능. 점검요청[기타]대리신고자 구리지사 김경란 010-9774-3535,[상품명]방역로봇[신고자/연락처]김주은 010-2433-0628[문의(고장)내용]움직이지 않는다고함[답변(진단)내용]대리신고후 고객님통화하여 전원리부팅요청하니 충전이 되지않아 작동불능. 점검요청[기타]대리신고자 구리지사 김경란 010-9774-3535,로봇전원off상태였음
sw버전업 오류,sw버전업 오류,sw교체
로봇교체,로봇교체,로봇교체
sw버전업오류,sw버전업오류,sw교체
관제불 로봇OFF,관제불 로봇OFF,sw버젼업 및 wifi오류수정
버전후 화면 글씨 작아짐 불편 원상요청,버전후 화면 글씨 작아짐 불편 원상요청,SW 원복처리-21.05.4
[상품명]서빙로봇[신고자/연락처]담당자010-9885-8484[문의(고장)내용]하드웨어 불량[답변(진단)내용]교체요청[기타]ktbiz정동섭(010-7227-0311)접수요청,[상품명]서빙로봇[신고자/연락처]담당자010-9885-8484[문의(고장)내용]하드웨어 불량[답변(진단)내용]교체요청[기타]ktbiz정동섭(010-7227-0311)접수요청,로봇주행멈춤및 재부팅
충전 안됨,충전 안됨,충전불량
충전장소 도킹에러,충전장소 도킹에러,충전장소 도킹에러 점검
서빙가는 도중 되돌아 온다함,서빙가는 도중 되돌아 온다함,수리완료
sw교체,sw교체,sw교체
카메라고장,카메라고장,교체
로봇 교체,로봇 교체,단말교체
금지구역으로 오동작,금지구역으로 오동작,초기화 재설치
로봇설변이동중 로봇고장 발생(프론트카메라불량) 교체요청,로봇설변이동중 로봇고장 발생(프론트카메라불량) 교체요청,로봇 불량으로 인한교체
"[상품명] 서빙로봇[신고자/연락처] 홍단비 01021762026kt직원 01098850114[문의(고장)내용] bn!S0039771050 지하1층 사용중매장운영 안함, 지하1층 로봇을 1층에서 사용 원함맵 변경 요청[답변(진단)내용] 담당부서 안내[기타]","[상품명] 서빙로봇[신고자/연락처] 홍단비 01021762026kt직원 01098850114[문의(고장)내용] bn!S0039771050 지하1층 사용중매장운영 안함, 지하1층 로봇을 1층에서 사용 원함맵 변경 요청[답변(진단)내용] 담당부서 안내[기타]",로봇사용량저조 재배치
